repo,star,fork
github.com/plus3it/terraform-aws-tardigrade-ram-share,5,10
github.com/ghrcdaac/dmrpp-generator,5,7
github.com/msfidelis/aws-msk-glue-kafka-setup,5,1
github.com/JamesWoolfenden/terraform-aws-appsync,5,1
github.com/hands-on-cloud/amazon-vpc-traffic-inspection-and-monitoring,4,5
github.com/zoitech/terraform-aws-s3-with-iam-access,4,5
github.com/dwp/dataworks-metrics-infrastructure,4,1
github.com/osodevops/aws-terraform-module-codebuild-packer,4,7
github.com/trackit/aws-workflow-live-streaming,4,0
github.com/rhythmictech/terraform-aws-route53-resolver-rule,4,13
github.com/devops-made-easy/terraform-aws-dax,4,4
github.com/DJAndries/terraform-aws-contact-form-mailer,4,1
github.com/JamesWoolfenden/terraform-aws-neptune,4,2
github.com/DNXLabs/terraform-aws-waf,4,11
github.com/brianbinbin/tf-eks,3,2
github.com/gnosia93/oracle-to-postgres,3,0
github.com/patheard/terraform-cantrill-aws-associate,3,5
github.com/gilyas/infracost,3,1
github.com/joeypiccola/homelab,3,0
github.com/mattjmcnaughton/personal-k8s,3,2
github.com/cloud-security-labs/terraform-aws-ssoadmin-permission-set,3,2
github.com/JamesWoolfenden/terraform-aws-codeartifact,3,4
github.com/ArtiomL/aws-sec-controls,3,3
github.com/aws-samples/otl-service-launcher,3,3
github.com/j0rzsh/aws-iot-tfg,3,0
github.com/raksit31667/learn-aws-voice-calling-chatbot,3,0
github.com/toddlers/aws-network-firewall-workflow,3,1
github.com/plus3it/terraform-aws-tardigrade-security-hub,3,10
github.com/rodrigogregorioneri/localstack_terraform,3,0
github.com/petersiemen/cross-account-multi-region-ci-cd-pipeline-on-aws,2,3
github.com/MatthewRawling/BCP-terraform,2,0
github.com/terraform-docs/terraform-config-inspect,2,3
github.com/kleytonhsantos/terraform-aws-dms,2,2
github.com/ahummel25/aws-organizations-hummel,2,0
github.com/clusterfrak-dynamics/terraform-aws-dms,2,3
github.com/tetsuzawa/docker-ecs-hands-on,2,3
github.com/melscoop-test/check,2,3
github.com/Exlabs/internalmeetups,2,0
github.com/ministryofjustice/hmpps-ems-platform-terraform-modules,2,0
github.com/yuriipolishchuk/ssh2iot,2,1
github.com/KyMidd/Terraform_ADO_ECR_Multi-Account_Access,2,1
github.com/sam-andaluri/saas-multi-cloud-series-1,2,1
github.com/imercier/terraform-play,2,0
github.com/JamesWoolfenden/terraform-aws-imagebuilder,2,4
github.com/yaseenzafar/terraform-rdsmigration,2,0
github.com/mhmdio/terraform-aws-sso,2,8
github.com/Maximilianarius/Terraform_create_password_iam_user,2,0
github.com/obytes/terraform-aws-lambda-apigw,2,2
github.com/clouddrove/terraform-aws-security-hub,2,4
github.com/SebastianUA/terraform-aws-rds,2,1
github.com/figurate/terraform-aws-service-discovery-namespace,2,3
github.com/Murtu1609/TFAWSShareAmis,2,0
github.com/rackspace-infrastructure-automation/aws-terraform-codecommit,2,3
github.com/MTB90/terraform-aws-ecs,2,0
github.com/THOM-AwS/terraform-patch-manager,2,1
github.com/JamesWoolfenden/terraform-aws-glue-crawler,2,3
github.com/karl-cardenas-coding/aws-code-signing-example,2,1
github.com/GSA/grace-paas-network,2,1
github.com/stilist/drjohndee.net,2,0
github.com/mikosa/aws-permission,2,2
github.com/danielsiwiec/esp8266-mqtt-aws-iot-temperature,2,0
github.com/RaduLupan/terraform-rdgateway-aws,2,5
github.com/petersiemen/aws-multiple-account-ci-cd,1,0
github.com/themaverick/cit481,1,0
github.com/MihaMarkocic/cloudservices,1,0
github.com/roguehedgehog/claire,1,0
github.com/imma/fogg-tf,1,0
github.com/GroganBurners/tine,1,1
github.com/oonisim/terraform-aws,1,1
github.com/magfest/mindbeamer,1,2
github.com/cloudveto/terraform-modules,1,3
github.com/wellcometrust/ncw-terraform-modules,1,1
github.com/cds-snc/covid-alert-server-demo-terraform,1,0
github.com/Jimon-s/terraform-example-security-hub,1,2
github.com/asaphe/terraform-aws-ecr,1,0
github.com/KanchiMoe/tf-practice,1,0
github.com/unipv-ce18/harmony,1,0
github.com/EASThyeok/soldeskTEAM1,1,0
github.com/jacksenechal/labrador,1,0
github.com/Jimon-s/terraform-example-timestream,1,0
github.com/Angelo512/Terabyte-CIT481-Senior-Project,1,0
github.com/Alan18081/custom-infra,1,0
github.com/Yoyo-Kikuchi/aws-app-mesh-example,1,1
github.com/tadinve/rsa_on_aws,1,0
github.com/vishalbhogate/terraform-aws-msk-default,1,0
github.com/tokazaki42/terraform-examples,1,1
github.com/sano307/terraform-app-runner-demo,1,0
github.com/GaryTapia/aws-security-setup,1,0
github.com/HemantTomar/pipe0,1,0
github.com/almirosmanovic/aws-global-accelerator,1,0
github.com/vn-cdr/multicloud-docker,1,0
github.com/Ph4rell/aws-sftp-s3-api-gateway,1,1
github.com/longhanhee/ecs-microservices-orchestration,1,0
github.com/gh-rbalimidi/samba_lambda_apigateway,1,0
github.com/zerosoftwere/terraform-ecs-msk-ssm-demo,1,0
github.com/OT-CLOUD-KIT/terraform-aws-secret-manager,1,2
github.com/JamesWoolfenden/terraform-aws-dax,1,2
github.com/banslt/dns_resolver_cross_accounts,1,0
github.com/7Factor/terraform-aws-ses,1,0
github.com/adacotech/terraform-aws-api-auth-proxy,1,0
github.com/JamesWoolfenden/terraform-aws-media-convert-queue,1,0
github.com/JamesWoolfenden/terraform-aws-workspaces,1,4
github.com/KazuyaMiyagi/terraform-aws-rocket-chat-notifier,1,3
github.com/uda-cha/minecraft_on_aws_ecs,1,4
github.com/dharada1/aws-sso-sample,1,0
github.com/ArpanBalpande/tf_aws_s3_glue_redshift,1,0
github.com/cbfield/terraform-aws-vpc,1,0
github.com/m-voels/tftest,1,0
github.com/controlshift/terraform-aws-controlshift-redshift-sync,1,7
github.com/DNXLabs/terraform-aws-vpc-peering-inter-region,1,3
github.com/stephen-harris/terraform-aws-locust,1,0
github.com/DNXLabs/terraform-aws-audit-member,1,2
github.com/JamesWoolfenden/terraform-aws-dns,1,1
github.com/mikeapted/tf-shared-alb-rules-waf,1,1
github.com/JamesWoolfenden/terraform-aws-ad,1,1
github.com/JamesWoolfenden/terraform-aws-guardduty,1,0
github.com/BorisLabs/terraform-aws-transit-gateway,1,9
github.com/andrzejsydor/aws,1,1
github.com/ru-rocker/asg-ec2-codedeploy-efs-terraform,1,1
github.com/naoyahieda/terraform_amplify_cicd_example,1,0
github.com/JamesWoolfenden/terraform-aws-waf2-regional,1,0
github.com/jslopes8/aws_account_setup,1,0
github.com/chandan-singh/terraform-aws-cognito,1,1
github.com/GSA/grace-iam,1,2
github.com/liberops/Terraform-AWS-Appstream,1,1
github.com/JamesWoolfenden/terraform-aws-cognito,1,0
github.com/JamesWoolfenden/terraform-aws-servicecatalog,1,2
github.com/my-aws-org/aws-scp,1,0
github.com/lindenlab/example-terraform-localstack,1,1
github.com/ibuchh/aws-apprunner-terraform,1,0
github.com/pacoraml/awsburpreflector,1,0
github.com/pete911/eks-cluster,1,2
github.com/tintulip/cla-organisation,1,0
github.com/cloud-architecture-demo/demo-sf1,1,0
github.com/mehanic/homework1,0,0
github.com/eddievaltix/terraform-valtix-modules,0,0
github.com/darnele868410/COALFIREASSESMENT,0,0
github.com/nekochans/kimono-app-terraform,0,0
github.com/danwiltshire/violet,0,0
github.com/thiagoeh/aws-iac,0,0
github.com/guilhermeghm/terraform_scripts,0,0
github.com/nationalarchives/ds-tf-tgw,0,1
github.com/dexterchan/Terraform_CrossRegionVPCPeering,0,0
github.com/Jimon-s/terraform-example-guardduty,0,2
github.com/anupdubbewar/terraform-aws,0,0
github.com/madhuawsdemo/modules,0,2
github.com/asannou/terraform-aws-cloudformation-stackset,0,0
github.com/Otherotter/practice-terraform,0,2
github.com/Jimon-s/terraform-example-macie,0,1
github.com/kshina76/centos-backup,0,0
github.com/1smii/iac_terraform_aws,0,0
github.com/beuleal/flask-app,0,0
github.com/bramhi123/tf_sagemaker-circleci,0,0
github.com/kronostechnologies/aws-mocks,0,0
github.com/valtix-security/Enable_DNS_VPC_Logs,0,0
github.com/anjanisone/Vadana-First-Task,0,0
github.com/benjdewantara/benjdewantara-iac,0,0
github.com/nautible/nautible-infra,0,2
github.com/snowplow-starter-aws/snowplow-realtime,0,0
github.com/romedawg/aws_infra,0,0
github.com/jyepesr1/devops-challenge-prft,0,0
github.com/epieye/winslet,0,0
github.com/dscsfan/demo-MODOS-AWS,0,0
github.com/Sunil4517/EKS,0,0
github.com/DButter/elk-ecs-cluster,0,1
github.com/rahil033/terraform_project,0,0
github.com/sprathod369/iac-example,0,0
github.com/stootles/mylabs,0,0
github.com/tomasdepi/terraform-course,0,1
github.com/jakoberpf/a-cloud-guru-aws-architect-associate,0,0
github.com/shaikis/terraform-aws-datasync,0,1
github.com/msaqibhashmi/weblate-iac,0,0
github.com/hyperglance/deploy,0,4
github.com/Htunn/IaC_Terraform,0,1
github.com/a-sinkavets/devops-task-02,0,0
github.com/sal12oni/aws_azure_migration,0,0
github.com/adilogishetty/AWS-DevOps,0,3
github.com/easyas314159/lobbyboy,0,0
github.com/sdr077/AppMonitor,0,0
github.com/karrybit/ayatori,0,0
github.com/ericdahl/tf-vpn-sandbox,0,1
github.com/arthurngatat/Tia-first-copy,0,0
github.com/mallebris/rest-api-deployment-example,0,0
github.com/ucopacme/terraform-modules,0,2
github.com/foresighttech/terraform-vpc-module,0,0
github.com/javyak/nw_public_cloud,0,0
github.com/aheadlabs/iac-toolset,0,1
github.com/syousry6/Modules,0,0
github.com/hsinha2019/CICDPipeline,0,1
github.com/ericdahl/tf-vpc-sandbox,0,0
github.com/mudmuseum/terraform-modules,0,1
github.com/thilinajayanath/thesis,0,0
github.com/vinovee/terraform-modules,0,0
github.com/casc3798/terragrunt-modules,0,1
github.com/ldynczuki/ml-platform-engineer,0,0
github.com/prodapt-cloud/TerraformRepo,0,4
github.com/georgearce24/aquasecurity-trivy,0,0
github.com/semashkinvg/terraform-tests-aws,0,0
github.com/danu165/terraform-bugs,0,0
github.com/suyog1pathak/eks,0,0
github.com/koffe0522/terraform-templates,0,1
github.com/balu970/Terraform-modules,0,1
github.com/ashkan3/demo-streaming-app,0,0
github.com/schubergphilis/regional-network,0,4
github.com/gchek/egress-vpc,0,0
github.com/Sainadh086/Terraform-modules,0,0
github.com/Paridhi-Mohindra/terraform-aws-api-gw-cookiecutter-template,0,0
github.com/vadhri/cloud-tech-notebook,0,0
github.com/reg-dataplatform/reg-aws-terraform-library,0,0
github.com/fabiodsilva/terraform-efs-datasync-awsbackup,0,4
github.com/VictorAparecidoRibeiro/terraform-aws,0,0
github.com/MundiCollins/multi-account-kinesis-to-redshift,0,0
github.com/devopskd/terraform-aws-iam,0,0
github.com/nisinghvmware/nitin,0,4
github.com/jipara/aws-backup-cross-account,0,0
github.com/andremulin/aws_route53_strategies_article,0,0
github.com/EmmanuelFelipe/terraform-modules,0,1
github.com/TanAlex/terraform-vpc-alb-ecs-acm-waf,0,0
github.com/pkuma343/aws-resource-tagging-poc-work,0,1
github.com/abondar24/ServerlessAI,0,1
github.com/zeadailson/eks-with-terraform,0,0
github.com/deepakkapse/EKS-task,0,0
github.com/gadgetry-io/terraform-aws-sso-permission-set,0,0
github.com/asannou/terraform-aws-guardduty-organization,0,2
github.com/kujalk/CI-CD-pipeline-AWS,0,2
github.com/fstuck37/terraform-aws-sec-vpc,0,0
github.com/neticdk/tf-aws-rds-cluster-parameter-group,0,0
github.com/fedesan/terraform-aws-wafv2-cloudflare,0,0
github.com/bayinfosys/aws-cognito,0,0
github.com/akshay0990/terraform-tasks,0,0
github.com/chmoon93/cross-region-replication,0,0
github.com/evk1986/aws,0,0
github.com/ricardomessiaszup/terraform_aws_opsworks_stack,0,0
github.com/jonunger/roxberry,0,1
github.com/max-l-weaver/terraform_route53_dyn,0,1
github.com/chuleh/tf-aws-vpc-link-module,0,0
github.com/annagtaraujo/Terraform-Transit-Gateway,0,1
github.com/cmdlabs/cmd-tf-aws-guardduty,0,1
github.com/longhanhee/ecs-microservices-mall-learning,0,0
github.com/JamesWoolfenden/terraform-aws-trafficmirror,0,1
github.com/kirkryan/tf-kitc-terraform-complex-deploy-aws,0,0
github.com/raphaeljoie/terraform-aws-accounts,0,0
github.com/Shivamya30/Terraform_RDS_ec2_vpc,0,0
github.com/akestner/fully-connected-mesh,0,0
github.com/barracuda-ess/terraform-aws-waf-webaclv2,0,0
github.com/Paridhi-Mohindra/1-aws,0,0
github.com/111crb111/terraform-aws-rds-no-versions,0,1
github.com/dwp/dataworks-aws-tarball-ingester,0,0
github.com/indukuri27/aws-configrule,0,0
github.com/hekonsek/terraform-aws-sso,0,0
github.com/melverano/aws_scheme_terraform,0,0
github.com/sirkells/terraform-ec2-prometheus-with-keypair,0,0
github.com/pgreene/terraform-aws-elasticache-security-group,0,0
github.com/TheCountt/terraform-cloud,0,1
github.com/btower-labz/terraform-aws-btlabz-arch-ref-asg-codedeploy-module,0,1
github.com/ardikabs/terraform-aws-vpc,0,0
github.com/annagtaraujo/Terraform-TGW-with-VPN,0,2
github.com/gpolicante/eks_terra,0,0
github.com/pratadaniel94/InfraAsCode-PROD,0,0
github.com/chidrup/terraform_aws,0,0
github.com/seemscloud/terraform-aws-elasticsearch-service,0,1
github.com/akemyy/beer,0,0
github.com/sgLancelot/serverless-sms-reminder,0,0
github.com/ValAug/VPC-Peering,0,1
github.com/SebastianUA/terraform-aws-cloudfront,0,3
github.com/Cloud-42/terraform-aws-bastion,0,5
github.com/nileshvmware/terrrra,0,0
github.com/seanremenyi/service_catalog,0,0
github.com/MIsazaB95/Ramup_nodejs_Infra,0,0
github.com/akkisain/TerraFrom-learniing,0,0
github.com/jorgechato/platform-tf,0,0
github.com/cdeucher/terraform-aws-vpc,0,0
github.com/K-taiga/aws_security,0,0
github.com/piotsik/flights_analyser,0,0
github.com/mackah666/aws-managed-client-vpn,0,0
github.com/hhhjjj96/Terraform-project,0,1
github.com/mzcdev/terraform-aws-eks,0,2
github.com/basisai/terraform-aws-sts-csi-disks,0,2
github.com/awsautomation/kongUAT,0,0
github.com/snapdocs/terraform-aws-inspector,0,1
github.com/wimaac/red_team,0,0
github.com/cpodieu1/Hello-Word,0,0
github.com/osodevops/aws-terraform-module-iam-groups,0,1
github.com/yakisialiou/terraforming-ecs,0,0
github.com/Road-To-FinOps-Deploy/aws_tf_rds_delete_unattached_cleaner,0,0
github.com/jrpradojr/terraform-aws-vpc-peering-inter-region,0,1
github.com/mdigbazova/terraforming-add-a-new-customer,0,0
github.com/MyCloudSeries/aws-ecr-terraform,0,0
github.com/william-librata/librata-io-wordpress,0,0
github.com/jsdads11/terra-artemis-amq,0,0
github.com/RPISDD/DeployScripts,0,0
github.com/bentinata/tf,0,0
github.com/111crb111/terraform-aws-rds-no-versions2,0,0
github.com/shreedhargowda/tfcloud,0,1
github.com/jmcorallo/terraform-aws-kms,0,1
github.com/Hmh4575/multi-cloud-vpn-master,0,0
github.com/akestner/terraform-app-mesh,0,0
github.com/jonasv/MFTEST_source-code,0,0
github.com/farahbhr/AWS,0,0
github.com/afonsoaugusto/terraform-aws-s3-webapp,0,1
github.com/rock7/cloudloop-sqs-terraform-module,0,0
github.com/111crb111/terraform-uknownprovider-rds-no-versions,0,0
github.com/sayan83/Crowdless,0,0
github.com/nzrf/aws-orgs-mgmt,0,0
github.com/j0rzsh/aws-iot-meetup,0,0
github.com/LKHetzel/tftest,0,1
github.com/alessanderviana/its-poc,0,0
github.com/EmanuelBurgess/Spencerscode,0,0
github.com/OumaimaHmoudou/CC_1,0,0
github.com/foss-cafe/learn-sentinal,0,0
github.com/srinin01/cicdterraformpipeline,0,0
github.com/shepherd44/terraform-aws-codeartifact,0,4
github.com/danielssabin/teste,0,0
github.com/UKHomeOffice/dq-tf-aws-compliance-ci-infra,0,1
github.com/dolow/terraform-aws-apigateway-lambda,0,0
github.com/DianaMayesCloud/Project-v1,0,0
github.com/Deval07GitHub/IAM-Service-Terraform,0,1
github.com/alistairjordan/aws-auto-account,0,0
github.com/UKHomeOffice/acp-guardduty-detector-tf,0,1
github.com/FrequencyUnk/hcp-vault-vpc-demo,0,0
github.com/gmirsky/terraform-aws-neptune,0,0
github.com/edwardpius/terraform-aws-msad,0,0
github.com/byu-oit/terraform-aws-ses,0,0
github.com/Venkateshg07/s3crossreplication,0,1
github.com/atc-labs/terraform-aws-vpc-peering,0,1
github.com/Angelszm/terraform-aws-iot,0,2
github.com/genstackio/terraform-aws-ses,0,2
github.com/dwp/terraform-aws-waf,0,3
github.com/reachmenetym/terraform-s3-lambda,0,0
github.com/ag-pinguin/terraform_rds_replication,0,0
github.com/narendra311777/myeksterraform,0,0
github.com/UKHomeOffice/acp-tf-GuardDuty-Masteraccount,0,1
github.com/lukdeboss/aws_tf,0,0
github.com/javahometech/aws-configrule,0,3
github.com/ReeceRose/home-network-proxy,0,0
github.com/dCode0/newJenkins,0,0
github.com/zerosoftwere/aws-msk-demo,0,0
github.com/daduskacpokus/aws-sftp-family,0,0
github.com/Franco-Simone/Obligatorio-ISC,0,0
github.com/pgastinger/terraform-aws-vpn-bgp-demo,0,0
github.com/Prashant-jumpbyte/terraform-aws-inspector-setup,0,7
github.com/kemoosabee/lambda_function,0,0
github.com/JamesWoolfenden/terraform-aws-waf-regional,0,1
github.com/Kaiohenriqueps/terraform-lambda-dynamodb,0,1
github.com/hari0034/tf-module-security-hub,0,0
github.com/cloudsoft/terraform-provider-aws-service-catalog-demos,0,0
github.com/north-kite/terraform-aws-egress-proxy,0,2
github.com/SebastianUA/terraform-aws-vpc,0,1
github.com/cmdlabs/cmd-tf-aws-budgets,0,0
github.com/yuukiyo/terraformAppSync,0,0
github.com/c0ldb00t3r/scripts,0,0
github.com/rails-on-services/terraform-aws-globalaccelerator,0,3
github.com/jitendrapsingh/Backup_RDS,0,0
github.com/yoshi65/test_codepipeline,0,0
github.com/vladcar/terraform-aws-http-api-gatewayV2-jwt-authorizer,0,1
github.com/CIPowell/chrisipowell-be,0,0
github.com/mrajani/learntf,0,0
github.com/fraoucene/serverless-react-app,0,0
github.com/andy-wolf/terraform-modules,0,1
github.com/ramit21/Lex-Chatbot,0,0
github.com/barneyparker/IoTCore-Test,0,0
github.com/alikhajeh1/infracost-gh-action-test,0,0
github.com/JamesWoolfenden/test,0,0
github.com/clopatofsky/website-ophtalmo,0,0
github.com/jonathannaz/test-terraform,0,0
github.com/leslieonline1/harry-stamper,0,0
github.com/mauricepruna/chatbot,0,0
github.com/katapultmedia/terraform-aws-organizations-scp-example,0,0
github.com/rutkowskib/repository-security-macie,0,0
github.com/jpouyaud-perso/aws-nlb-ha-sni-routing-asg,0,0
github.com/lydiacupery/recipe-book,0,0
github.com/ministryofjustice/opg-aws-config-service,0,1
github.com/brucehvn/edify,0,0
github.com/ShabariRepo/iac-automation,0,0
github.com/trevisangabriel/devops,0,0
github.com/gtimalsena/DevOps,0,0
github.com/maduxi/tulsi,0,0
github.com/shankarb01/endgame,0,0
github.com/gpetrousov/endgame,0,2
github.com/winebarrel/sam-rds-postgresql-slowquery-to-es,0,0
github.com/Graham-M/terraform-transit-gw-example,0,0
github.com/mike23101994/terraform-scripts,0,0
github.com/jjoc007/poc-appsync-golang-mongo,0,0
github.com/yesisonline/DevOps,0,0
github.com/yirez/ansible-tests,0,0
github.com/BetaMedina/terraform-test-ecs,0,0
github.com/jveldboom/raspberry-pi-iot-temperature-system,0,0
github.com/sridhartw/golden_ami_scanning,0,0
github.com/TNK-2/nestjs-test,0,0
github.com/davidgalstyan53/awsrocket,0,0
github.com/raulmanzas/text-extraction-4fun,0,2
github.com/devops-adeel/wordpress,0,0
