repo,star,fork,path,num_boudary,num_process,num_datastore,num_dataflow,num_external_entity,num_threat,step1_time,step2_time,step3_time,step4_time,total_time,total_line_of_code
github.com/msfidelis/ecs-microservices-orchestration,76,15,ecs-microservices-orchestration/,1,0,0,0,1,0,35.48798633,2.939387083,0.041099072,6.059478521,44.527951,1268
github.com/galaxyproject/admin-training,60,62,admin-training/terraform/,1,198,0,0,1,0,33.66860768,4.979123116,0.131800652,5.949302673,44.72883412,1989
github.com/reireias/rails-on-ecs-terraform,41,7,rails-on-ecs-terraform/,1,2,0,0,1,12,38.41071796,3.817207813,0.079971075,6.21682024,48.52471709,1840
github.com/Verizon/5GEdgeTutorials,40,24,5GEdgeTutorials/terraform/aws-ec2/,4,3,0,2,1,12,14.88365531,2.556275845,0.074038982,6.649358511,24.16332865,310
github.com/umotif-public/terraform-aws-elasticache-redis,40,64,terraform-aws-elasticache-redis/,1,1,2,0,1,12,34.53324437,3.059795618,0.063899755,6.658972979,44.31591272,809
github.com/ipspace/pubcloud,35,13,pubcloud/AWS/IP-multicast/,3,5,0,3,1,24,34.75222131,3.150101185,0.123958349,7.276134253,45.30241509,477
github.com/aws-samples/aws-apprunner-terraform,32,29,aws-apprunner-terraform/terraform/,3,4,3,3,1,68,30.69116687,2.910231829,0.119854212,5.817169189,39.5384221,928
github.com/SebastianUA/terraform-aws-glue,32,32,terraform-aws-glue/,1,4,1,3,1,76,34.49535847,3.603289843,0.100142956,6.365632296,44.56442356,2793
github.com/redhat-cop/ocp-disconnected-docs,30,18,ocp-disconnected-docs/aws-ipi-terraform/,9,1,0,0,1,0,17.63566995,2.961672306,0.058015108,6.212380171,26.86773753,347
github.com/cloudquery/cq-provider-aws,29,40,cq-provider-aws/terraform/accessanalyzer/local/,1,0,0,0,1,0,38.74813187,2.136470795,0.039575338,6.437322855,47.36150086,37
github.com/C2Devel/terraform-examples,27,13,terraform-examples/,1,3,0,0,1,24,36.44122124,3.472269058,0.076792955,6.168989897,46.15927315,1551
github.com/devopsloft/devopsloft,26,98,devopsloft/deploy/,1,4,1,0,1,28,15.59392667,1.851853848,0.075102568,6.151350021,23.6722331,161
github.com/asbubam/2dal-infrastructure,26,12,2dal-infrastructure/terraform/,1,10,3,8,1,144,34.98426231,3.269880533,0.219315767,6.851238012,45.32469662,1254
github.com/clowdhaus/terraform-aws-managed-service-prometheus,26,26,terraform-aws-managed-service-prometheus/,1,1,0,0,1,0,34.23090625,3.21142745,0.049712181,5.995204449,43.48725033,260
github.com/DNXLabs/terraform-aws-ecs,26,31,terraform-aws-ecs/,1,0,0,0,1,0,33.55890059,2.803107738,0.040561199,6.171435833,42.57400537,2023
github.com/kuromitsu0104/gadget-app,24,7,gadget-app/terraform/,1,6,1,4,1,132,27.41783643,3.41841507,0.175706148,9.024337053,40.0362947,1427
github.com/aws-samples/multi-region-org-config-rules-terraform,22,18,multi-region-org-config-rules-terraform/administrator_account/,1,1,2,0,1,20,30.69626514,2.252444506,0.058889151,5.467414141,38.47501294,426
github.com/anneglienke/terraform101,22,1,terraform101/infrastructure/,1,5,4,3,1,84,30.67915082,3.367837906,0.132221699,6.298950434,40.47816086,616
github.com/SonarSource/sonar-iac,22,7,sonar-iac/its/plugin/projects/measures/terraform/,1,0,0,0,1,84,31.69211841,1.899302483,0.036589622,5.995698929,39.62370944,50
github.com/virtmerlin/mglab-share-eks,20,22,mglab-share-eks/demos/03/create-cluster-terraform/artifacts/terraform/,4,5,0,4,1,48,33.90074212,4.253564119,0.10581398,5.630390882,43.8905111,693
github.com/heldersepu/hs-scripts,19,15,hs-scripts/TerraForm/,3,13,4,9,1,112,34.29419148,9.713562489,0.23709178,6.0289042,50.27374994,6268
github.com/cds-snc/covid-alert-server-staging-terraform,19,1,covid-alert-server-staging-terraform/bootstrap/,1,1,2,0,1,4,11.91470551,1.714135408,0.068089485,5.527978659,19.22490907,86
github.com/commitdev/zero-aws-eks-stack,16,9,zero-aws-eks-stack/templates/terraform/bootstrap/remote-state/,1,0,2,0,1,4,30.60658035,2.023391485,0.061842203,5.14613533,37.83794937,90
github.com/bkrn/prolamb,16,3,prolamb/test/terraform/,1,22,0,0,1,264,19.62677073,1.964111328,0.235426664,5.71807766,27.54438639,257
github.com/dtelaroli/devops-test,15,2,devops-test/iaas/backend/,1,0,2,0,1,4,37.3797174,2.492963076,0.05363369,5.76237011,45.68868428,110
github.com/andresriancho/aws-backup,15,2,aws-backup/,1,0,0,0,1,0,34.48457527,3.412303686,0.044123888,5.840113401,43.78111625,544
github.com/in4it/roxprox,14,4,roxprox/terraform/,2,4,0,3,1,36,36.63138942,6.957516193,0.067649364,4.887045145,48.54360012,1781
github.com/chimbs86/Security-And-Microservices-On-AWS,13,11,Security-And-Microservices-On-AWS/appendixa/,1,0,1,0,1,0,9.813595533,1.925542831,0.044230461,5.459583044,17.24295187,38
github.com/mesoform/terraform-infrastructure-modules,13,2,terraform-infrastructure-modules/mcp/,1,0,0,0,1,0,20.81681561,3.046241999,0.043933392,5.60030818,29.50729918,6330
github.com/JKolios/minecraft-ondemand-terraform,13,5,minecraft-ondemand-terraform/terraform/,1,5,2,6,1,132,33.55606437,2.228401661,0.112445116,5.813752413,41.71066356,807
github.com/sacundim/covid-19-puerto-rico,13,6,covid-19-puerto-rico/Terraform/,3,5,0,0,1,84,31.80229449,2.420709848,0.079953194,6.041597843,40.34455538,2427
github.com/tesera/terraform-modules,12,4,terraform-modules/alb/,1,2,0,1,1,32,35.86728206,2.339426041,0.052078962,5.603594303,43.86238137,289
github.com/18F/identity-terraform,12,7,identity-terraform/,1,1,0,0,1,0,34.50156236,3.068489313,0.050403118,6.13815856,43.75861335,10443
github.com/tomaszkiewicz/terraform-modules,10,9,terraform-modules/alb/,1,2,0,1,1,32,38.44856954,2.236351013,0.051433086,5.386978865,46.1233325,289
github.com/trussworks/terraform-aws-org-scp,10,7,terraform-aws-org-scp/,12,21,7,8,1,216,31.86820483,6.690917969,0.400540829,6.753392458,45.71305609,460
github.com/g31s/terraform-aws-ecs-fargate,10,6,terraform-aws-ecs-fargate/,1,0,0,0,1,0,16.62833619,2.633771896,0.037928104,6.210959435,25.51099563,1319
github.com/gretelai/FluentBitLogging,10,5,FluentBitLogging/terraform/,4,8,2,1,1,84,39.89189243,4.396477938,0.169182301,6.513671875,50.97122455,1032
github.com/alphagov/govwifi-terraform,9,5,govwifi-terraform/global-dns/,1,1,0,0,1,0,36.37864804,1.95403266,0.045913935,5.794900656,44.17349529,49
github.com/niveklabs/aws,9,9,aws/,4,2,0,1,1,12,19.12939858,3.508297205,0.062731028,6.536040068,29.23646688,140709
github.com/binbashar/terraform-aws-guardduty-multiaccount,8,5,terraform-aws-guardduty-multiaccount/examples/configure-guardduty/,1,0,0,0,1,0,20.46811533,1.924394131,0.036044836,5.303753138,27.73230743,102
github.com/Piroddi/aws-http-api-private-alb,8,2,aws-http-api-private-alb/infrastructure/modules/api_gateway/,1,2,0,1,1,32,39.01374841,2.242000103,0.048692465,5.675195456,46.97963643,168
github.com/GSA/grace-cloudcustodian,8,8,grace-cloudcustodian/,1,0,0,0,1,0,34.78790784,3.87588501,0.04097724,6.326732635,45.03150272,297
github.com/plus3it/terraform-aws-tardigrade-transit-gateway,8,16,terraform-aws-tardigrade-transit-gateway/,1,1,1,0,1,16,34.1745882,3.386900902,0.059389114,6.249067545,43.86994576,1620
github.com/Flaconi/terraform-aws-waf-acl-rules,8,4,terraform-aws-waf-acl-rules/,1,3,2,0,1,36,33.98048377,2.969592094,0.067763805,6.118869066,43.13670874,257
github.com/jzbruno/terraform-aws-lex-examples,8,12,terraform-aws-lex-examples/,1,0,0,0,1,0,34.46700001,2.847277164,0.0468297,6.057800055,43.41890693,774
github.com/aws-samples/codeartifact-retention-policy,7,3,codeartifact-retention-policy/codeartifact-retention-module/,1,2,0,1,1,44,34.13448455,2.304668903,0.05926609,6.410358429,42.90877798,197
github.com/msfidelis/awswaf-production-automation,7,0,awswaf-production-automation/,1,12,0,0,1,144,34.41606236,3.097311258,0.111746788,6.471766949,44.09688735,665
github.com/cloud-security-labs/terraform-aws-sso,7,5,terraform-aws-sso/,1,0,0,0,1,0,34.66275263,2.990423918,0.041958809,6.280418396,43.97555375,198
github.com/18F/formservice-iac-modules,6,4,formservice-iac-modules/acct-mgmt-security/,1,2,0,0,1,24,37.26381302,1.907441616,0.059820414,5.446871519,44.67794657,204
github.com/skyscrapr/terraform-cloudability-modules,6,1,terraform-cloudability-modules/cloudability-aws-iam-role/,1,1,0,0,1,12,37.18217897,2.094310522,0.052410841,5.4414289,44.77032924,159
github.com/purpleteam-labs/purpleteam-iac-sut,6,2,purpleteam-iac-sut/tf/roots/1_static/,1,4,0,0,1,48,19.62647343,2.233720064,0.063077927,5.470343113,27.39361453,194
github.com/USSBA/terraform-aws-backup-plans,6,1,terraform-aws-backup-plans/,1,0,2,0,1,0,35.12418032,3.339007139,0.044610262,6.091908455,44.59970617,426
github.com/DNXLabs/terraform-aws-security-baseline,6,5,terraform-aws-security-baseline/,1,0,0,0,1,0,34.17306304,2.740400553,0.046340466,6.034792662,42.99459672,248
github.com/soapergem/aws-pinpoint-unsubscribe,6,3,aws-pinpoint-unsubscribe/terraform/,1,198,0,0,1,84,37.26620885,4.894883633,0.124484777,6.413017273,48.69859453,481
github.com/jazhans/zeek_terransible_aws,6,0,zeek_terransible_aws/terraform/,3,4,3,3,1,84,38.72930646,2.762810469,0.117778778,5.989700556,47.59959626,621
github.com/hms-dbmi/avillachlab-secure-infrastructure,5,1,avillachlab-secure-infrastructure/app-infrastructure/,1,17,0,15,1,84,31.92628479,3.453220844,0.223380566,5.766387701,41.3692739,1481
github.com/AtsushiKitano/assets,5,1,assets/terraform/tflint/,1,0,0,0,1,0,12.21247625,2.225807428,0.048195124,5.509333849,19.99581265,141
github.com/prancer-io/prancer-terramerra,5,2,prancer-terramerra/aws/acm/,1,0,1,0,1,0,37.78271128,2.300110579,0.044258833,5.24798727,45.37506796,54
github.com/prbc/farese,5,5,farese/.terraform/,1,0,5,0,1,12,15.07192755,1.979417801,0.063127518,5.90251565,23.01698852,372
github.com/babbel/terraform-aws-nlb-for-apigateway-vpc-link,5,6,terraform-aws-nlb-for-apigateway-vpc-link/,1,0,0,0,1,0,33.91381216,2.723628283,0.040766239,6.011834621,42.6900413,192
github.com/plus3it/terraform-aws-tardigrade-ram-share,5,10,terraform-aws-tardigrade-ram-share/,1,0,0,0,1,0,34.28647137,2.898215532,0.042637348,5.953766108,43.18109035,371
github.com/ghrcdaac/dmrpp-generator,5,7,dmrpp-generator/,1,10,0,3,1,132,38.97591114,4.301032305,0.169868469,6.81763649,50.2644484,532
github.com/msfidelis/aws-msk-glue-kafka-setup,5,1,aws-msk-glue-kafka-setup/,1,1,0,0,1,12,33.42938423,2.802695513,0.052453756,6.257552147,42.54208565,346
github.com/JamesWoolfenden/terraform-aws-appsync,5,1,terraform-aws-appsync/,1,4,0,3,1,72,33.97602725,4.311237335,0.072571993,6.307884455,44.66772103,242
github.com/hands-on-cloud/amazon-vpc-traffic-inspection-and-monitoring,4,5,amazon-vpc-traffic-inspection-and-monitoring/0_remote_state/,1,0,4,2,1,4,39.34973899,1.946264505,0.058327675,5.314410925,46.66874209,169
github.com/zoitech/terraform-aws-s3-with-iam-access,4,5,terraform-aws-s3-with-iam-access/,1,1,0,0,1,12,33.91039562,2.806868076,0.062300444,6.314215899,43.09378004,750
github.com/dwp/dataworks-metrics-infrastructure,4,1,dataworks-metrics-infrastructure/,3,12,0,2,1,100,35.88427258,3.820701122,0.185587168,6.463822126,46.35438299,11316
github.com/osodevops/aws-terraform-module-codebuild-packer,4,7,aws-terraform-module-codebuild-packer/,1,1,4,6,1,24,34.04219723,3.083500624,0.083712339,6.12318778,43.33259797,519
github.com/trackit/aws-workflow-live-streaming,4,0,aws-workflow-live-streaming/,1,0,0,0,1,0,30.50102025,7.587995768,0.048532963,6.385472059,44.52302104,853
github.com/rhythmictech/terraform-aws-route53-resolver-rule,4,13,terraform-aws-route53-resolver-rule/,1,0,0,0,1,0,17.20852566,2.907327652,0.038619995,6.241048098,26.3955214,101
github.com/devops-made-easy/terraform-aws-dax,4,4,terraform-aws-dax/,1,2,2,1,1,16,35.15496755,3.082029581,0.072785378,6.30411911,44.61390162,126
github.com/DJAndries/terraform-aws-contact-form-mailer,4,1,terraform-aws-contact-form-mailer/,1,1,1,1,1,20,39.20849586,3.304014206,0.065993071,6.421688557,49.00019169,327
github.com/JamesWoolfenden/terraform-aws-neptune,4,2,terraform-aws-neptune/,1,1,0,0,1,0,35.04632306,2.892999649,0.045747995,6.312370539,44.29744124,453
github.com/DNXLabs/terraform-aws-waf,4,11,terraform-aws-waf/,5,0,0,0,1,0,28.18543005,4.344199181,0.049737692,6.312946558,38.89231348,2034
github.com/brianbinbin/tf-eks,3,2,tf-eks/modules/iam/,1,1,0,0,1,12,35.87813706,2.098994493,0.046149969,5.811437368,43.83471889,71
github.com/gnosia93/oracle-to-postgres,3,0,oracle-to-postgres/tf/,1,9,0,7,1,48,31.09344669,2.416016102,0.132935524,5.885356903,39.52775522,878
github.com/patheard/terraform-cantrill-aws-associate,3,5,terraform-cantrill-aws-associate/bootstrap/,1,0,2,0,1,4,20.60390115,1.929146528,0.055679321,5.585628271,28.17435527,91
github.com/gilyas/infracost,3,1,infracost/examples/cf2tf/,1,0,3,0,1,0,34.53601354,1.954518795,0.051570177,5.437812567,41.97991508,86
github.com/joeypiccola/homelab,3,0,homelab/terraform/aws_ec2_web_app/,1,4,1,5,1,56,34.99088997,2.652072191,0.084779501,5.908703566,43.63644523,280
github.com/mattjmcnaughton/personal-k8s,3,2,personal-k8s/bootstrap/,1,2,1,0,1,16,36.12664295,2.149283648,0.0527668,5.545214415,43.87390781,131
github.com/cloud-security-labs/terraform-aws-ssoadmin-permission-set,3,2,terraform-aws-ssoadmin-permission-set/,1,5,1,3,1,104,16.80412459,3.789335489,0.104469776,6.858858824,27.55678868,182
github.com/JamesWoolfenden/terraform-aws-codeartifact,3,4,terraform-aws-codeartifact/,2,21,4,12,1,332,38.7860026,5.786736965,0.340450287,7.3840518,52.29724165,115
github.com/ArtiomL/aws-sec-controls,3,3,aws-sec-controls/,1,3,0,4,1,96,34.19915986,2.91585803,0.082258463,6.645078897,43.84235525,994
github.com/aws-samples/otl-service-launcher,3,3,otl-service-launcher/,5,18,8,18,1,276,36.72616005,4.515991211,0.407068253,7.357350349,49.00656986,3008
github.com/j0rzsh/aws-iot-tfg,3,0,aws-iot-tfg/,1,0,0,0,1,0,35.54799366,2.759738445,0.043601513,6.012758732,44.36409235,704
github.com/raksit31667/learn-aws-voice-calling-chatbot,3,0,learn-aws-voice-calling-chatbot/,1,0,0,0,1,0,37.55252242,2.669127941,0.037699461,5.992694855,46.25204468,137
github.com/toddlers/aws-network-firewall-workflow,3,1,aws-network-firewall-workflow/,1,6,0,2,1,32,34.89966965,3.034771204,0.095188618,6.435887337,44.46551681,414
github.com/plus3it/terraform-aws-tardigrade-security-hub,3,10,terraform-aws-tardigrade-security-hub/,1,7,2,13,1,228,38.59921551,4.241094828,0.1799891,7.011609554,50.03190899,520
github.com/rodrigogregorioneri/localstack_terraform,3,0,localstack_terraform/infrastructure/,1,6,1,0,1,84,31.55658102,2.040765524,0.10490036,6.19136858,39.89361548,143
github.com/petersiemen/cross-account-multi-region-ci-cd-pipeline-on-aws,2,3,cross-account-multi-region-ci-cd-pipeline-on-aws/modules/api-gateway/,1,2,0,1,1,44,35.33592614,2.27893424,0.059863567,6.009279251,43.6840032,94
github.com/MatthewRawling/BCP-terraform,2,0,BCP-terraform/account/,1,4,0,0,1,48,20.16910863,2.083619118,0.06679678,5.732364178,28.0518887,242
github.com/terraform-docs/terraform-config-inspect,2,3,terraform-config-inspect/tfconfig/testdata/basics/,1,0,0,0,1,0,2.329992294,1.951568604,0.041282892,5.522854328,9.845698118,52
github.com/kleytonhsantos/terraform-aws-dms,2,2,terraform-aws-dms/examples/certificates/,1,0,0,0,1,0,36.93635968,2.402566195,0.040152311,5.106071234,44.48514942,68
github.com/ahummel25/aws-organizations-hummel,2,0,aws-organizations-hummel/organizations-modules/,1,2,0,0,1,24,30.82877898,2.296403885,0.046347857,5.353798628,38.52532935,316
github.com/clusterfrak-dynamics/terraform-aws-dms,2,3,terraform-aws-dms/examples/certificates/,1,0,0,0,1,0,38.07482147,2.382481575,0.040240049,4.973505259,45.47104836,68
github.com/tetsuzawa/docker-ecs-hands-on,2,3,docker-ecs-hands-on/example/infrastructure/,8,2,0,1,1,32,19.44292974,2.693591833,0.063835382,5.414991379,27.61534834,373
github.com/melscoop-test/check,2,3,check/tests/common/suppressions_resources/,1,1,3,0,1,12,37.0264976,2.185902596,0.072089195,5.91446352,45.19895291,79
github.com/Exlabs/internalmeetups,2,0,internalmeetups/cdc/aws_rds_cdc/,1,1,2,2,1,20,17.86953759,1.990954876,0.059072733,5.47535181,25.39491701,185
github.com/ministryofjustice/hmpps-ems-platform-terraform-modules,2,0,hmpps-ems-platform-terraform-modules/modules/account-baseline/,1,12,2,2,1,156,36.250213,4.937052011,0.230658293,8.819106102,50.23702941,821
github.com/yuriipolishchuk/ssh2iot,2,1,ssh2iot/terraform/bootstrap/,1,0,2,0,1,4,11.47600198,2.808407784,0.075193167,8.558166027,22.91776896,74
github.com/KyMidd/Terraform_ADO_ECR_Multi-Account_Access,2,1,Terraform_ADO_ECR_Multi-Account_Access/Hub/,1,0,1,0,1,0,30.46731134,2.860411644,0.067552567,7.900749922,41.29602548,136
github.com/sam-andaluri/saas-multi-cloud-series-1,2,1,saas-multi-cloud-series-1/IaC/aws/client-vpn/,1,2,0,1,1,32,38.39540768,2.661998034,0.068171978,7.306211472,48.43178916,159
github.com/imercier/terraform-play,2,0,terraform-play/api-gw/,1,1,0,0,1,12,35.9041096,2.889574766,0.064956903,7.119131804,45.97777307,150
github.com/JamesWoolfenden/terraform-aws-imagebuilder,2,4,terraform-aws-imagebuilder/,1,0,0,0,1,0,34.11223841,3.13245821,0.042660475,5.906287193,43.19364429,354
github.com/yaseenzafar/terraform-rdsmigration,2,0,terraform-rdsmigration/,1,0,0,0,1,0,34.51323509,3.398044109,0.045648336,6.354443789,44.31137133,178
github.com/mhmdio/terraform-aws-sso,2,8,terraform-aws-sso/,1,3,0,3,1,64,33.79436913,3.155546904,0.064274073,6.305657387,43.3198475,198
github.com/Maximilianarius/Terraform_create_password_iam_user,2,0,Terraform_create_password_iam_user/,3,4,0,0,1,36,16.59880495,2.928966522,0.086437464,6.369084358,25.98329329,545
github.com/obytes/terraform-aws-lambda-apigw,2,2,terraform-aws-lambda-apigw/,1,0,0,0,1,0,34.33753419,2.83748436,0.042059422,5.87451458,43.09159255,274
github.com/clouddrove/terraform-aws-security-hub,2,4,terraform-aws-security-hub/,1,5,2,1,1,12,10.5709033,3.47736311,0.141340733,6.257078648,20.44668579,209
github.com/SebastianUA/terraform-aws-rds,2,1,terraform-aws-rds/,6,4,0,1,1,24,36.33177185,4.067217588,0.093330145,6.073785782,46.56610537,2586
github.com/figurate/terraform-aws-service-discovery-namespace,2,3,terraform-aws-service-discovery-namespace/,1,6,0,0,1,0,17.10522842,3.072945118,0.071493149,5.918156624,26.16782331,140
github.com/Murtu1609/TFAWSShareAmis,2,0,TFAWSShareAmis/,1,18,6,27,1,552,33.52421832,4.297346354,0.34969759,7.158498049,45.32976031,77
github.com/rackspace-infrastructure-automation/aws-terraform-codecommit,2,3,aws-terraform-codecommit/,1,0,0,0,1,0,34.46252751,2.978089571,0.046092033,6.045383692,43.53209281,386
github.com/MTB90/terraform-aws-ecs,2,0,terraform-aws-ecs/,1,2,0,0,1,12,36.13071704,3.071519136,0.060853243,6.207521915,45.47061133,2023
github.com/THOM-AwS/terraform-patch-manager,2,1,terraform-patch-manager/,1,0,0,0,1,0,35.26896381,2.853647232,0.042916298,5.947042704,44.11257005,478
github.com/JamesWoolfenden/terraform-aws-glue-crawler,2,3,terraform-aws-glue-crawler/,1,1,0,0,1,0,35.85675335,3.394214153,0.0458951,6.061635017,45.35849762,315
github.com/karl-cardenas-coding/aws-code-signing-example,2,1,aws-code-signing-example/,1,0,0,0,1,0,34.06828785,3.333062172,0.044828176,5.937972307,43.38415051,290
github.com/GSA/grace-paas-network,2,1,grace-paas-network/,1,0,1,0,1,4,37.50963044,3.51030159,0.050129652,6.871786118,47.9418478,886
github.com/stilist/drjohndee.net,2,0,drjohndee.net/terraform/,2,7,46,6,1,84,36.89025784,3.432239176,1.433439732,6.843372583,48.59930933,693
github.com/mikosa/aws-permission,2,2,aws-permission/terraform/,1,10,3,8,1,84,31.71443319,2.935839176,0.29403162,6.04084301,40.985147,602
github.com/danielsiwiec/esp8266-mqtt-aws-iot-temperature,2,0,esp8266-mqtt-aws-iot-temperature/terraform/,1,6,1,4,1,84,17.53122973,2.355502605,0.133268356,5.748483658,25.76848435,212
github.com/RaduLupan/terraform-rdgateway-aws,2,5,terraform-rdgateway-aws/ad/,1,0,0,0,1,84,11.34285378,1.786512375,0.03772068,6.083491564,19.2505784,139
github.com/petersiemen/aws-multiple-account-ci-cd,1,0,aws-multiple-account-ci-cd/modules/api-gateway/,1,2,0,1,1,44,39.54695773,2.068486691,0.05867672,5.527315378,47.20143652,94
github.com/themaverick/cit481,1,0,cit481/TF/terraform/,3,8,0,4,1,48,37.55842972,2.889267206,0.116663456,5.489402294,46.05376267,401
github.com/MihaMarkocic/cloudservices,1,0,cloudservices/AWS/bastion_host/,3,3,0,2,1,12,35.31188389,3.186936855,0.062548399,5.227792025,43.78916117,544
github.com/roguehedgehog/claire,1,0,claire/tf/labs/,2,4,2,3,1,48,18.19869757,3.060903311,0.118112326,5.444250584,26.82196379,383
github.com/imma/fogg-tf,1,0,fogg-tf/fogg-account/,1,0,0,0,1,0,38.89749217,1.705737829,0.03914547,5.025638103,45.66801357,69
github.com/GroganBurners/tine,1,1,tine/misc/terraform/,1,0,0,0,1,0,39.84161615,1.741499662,0.037611246,4.908243179,46.52897024,61
github.com/oonisim/terraform-aws,1,1,terraform-aws/script/file/,1,0,0,0,1,0,4.446765184,1.80373168,0.037779331,5.204820395,11.49309659,57
github.com/magfest/mindbeamer,1,2,mindbeamer/terraform/backend/,1,1,0,0,1,0,19.94596052,1.73685813,0.048082829,5.078621626,26.80952311,41
github.com/cloudveto/terraform-modules,1,3,terraform-modules/alb/,1,2,0,1,1,32,38.96280704,2.042199612,0.051523447,5.288991928,46.34552203,289
github.com/wellcometrust/ncw-terraform-modules,1,1,ncw-terraform-modules/AWS/ebs-volume/,1,0,0,0,1,0,31.09559746,1.757284164,0.041298866,5.176609993,38.07079048,56
github.com/cds-snc/covid-alert-server-demo-terraform,1,0,covid-alert-server-demo-terraform/bootstrap/,1,1,2,0,1,4,13.1182754,1.724556684,0.057766914,5.437229395,20.3378284,71
github.com/Jimon-s/terraform-example-security-hub,1,2,terraform-example-security-hub/terraform/env/example/,1,1,0,0,1,0,38.35793237,2.138839483,0.044045925,5.376668453,45.91748623,35
github.com/asaphe/terraform-aws-ecr,1,0,terraform-aws-ecr/lifecycle_policy/,1,0,0,0,1,0,34.86329869,2.406120539,0.045599937,5.424094439,42.73911361,45
github.com/KanchiMoe/tf-practice,1,0,tf-practice/kubernetes/,1,1,0,0,1,12,33.08679245,2.330327272,0.049044132,5.458367825,40.92453168,497
github.com/unipv-ce18/harmony,1,0,harmony/contrib/aws/compute/,6,8,13,9,1,188,38.60149318,3.672190428,0.298947811,7.171904802,49.74453622,732
github.com/EASThyeok/soldeskTEAM1,1,0,soldeskTEAM1/Autoscaling/,1,0,0,0,1,0,39.67019013,2.489699841,0.044867039,7.112954378,49.31771139,90
github.com/jacksenechal/labrador,1,0,labrador/controller-create/,1,3,0,2,1,24,27.9281354,2.743115664,0.067993879,6.555324554,37.29456949,377
github.com/Jimon-s/terraform-example-timestream,1,0,terraform-example-timestream/terraform/env/example/,1,2,0,1,1,44,39.02673961,2.804561853,0.083682537,7.912628174,49.82761218,55
github.com/Angelo512/Terabyte-CIT481-Senior-Project,1,0,Terabyte-CIT481-Senior-Project/Project1/Terraform/,7,7,0,4,1,36,32.92402972,4.0863657,0.14688468,7.412003279,44.56928338,444
github.com/Alan18081/custom-infra,1,0,custom-infra/kubernetes-terraform/,2,6,0,4,1,60,35.17430058,4.197508097,0.160837889,8.177564621,47.71021119,723
